[22/11/24 02:28:41, INFO, algs.py:sl_multi_server():317]  > Round 73, testing loss: 0.59, testing acc: 80.06%
[22/11/24 02:28:55, INFO, algs.py:sl_multi_server():317]  > Round 74, testing loss: 0.58, testing acc: 80.31%
[22/11/24 02:29:09, INFO, algs.py:sl_multi_server():317]  > Round 75, testing loss: 0.59, testing acc: 80.03%
[22/11/24 02:29:22, INFO, algs.py:sl_multi_server():317]  > Round 76, testing loss: 0.59, testing acc: 80.25%
[22/11/24 02:29:36, INFO, algs.py:sl_multi_server():317]  > Round 77, testing loss: 0.59, testing acc: 80.52%
[22/11/24 02:29:50, INFO, algs.py:sl_multi_server():317]  > Round 78, testing loss: 0.59, testing acc: 80.26%
[22/11/24 02:30:03, INFO, algs.py:sl_multi_server():317]  > Round 79, testing loss: 0.58, testing acc: 80.52%
[22/11/24 02:30:17, INFO, algs.py:sl_multi_server():317]  > Round 80, testing loss: 0.58, testing acc: 80.21%
[22/11/24 02:30:31, INFO, algs.py:sl_multi_server():317]  > Round 81, testing loss: 0.58, testing acc: 80.63%
[22/11/24 02:30:44, INFO, algs.py:sl_multi_server():317]  > Round 82, testing loss: 0.58, testing acc: 80.70%
[22/11/24 02:30:58, INFO, algs.py:sl_multi_server():317]  > Round 83, testing loss: 0.59, testing acc: 80.32%
[22/11/24 02:31:12, INFO, algs.py:sl_multi_server():317]  > Round 84, testing loss: 0.57, testing acc: 80.69%
[22/11/24 02:31:25, INFO, algs.py:sl_multi_server():317]  > Round 85, testing loss: 0.57, testing acc: 81.27%
[22/11/24 02:31:39, INFO, algs.py:sl_multi_server():317]  > Round 86, testing loss: 0.57, testing acc: 80.87%
[22/11/24 02:31:53, INFO, algs.py:sl_multi_server():317]  > Round 87, testing loss: 0.57, testing acc: 80.98%
[22/11/24 02:32:07, INFO, algs.py:sl_multi_server():317]  > Round 88, testing loss: 0.58, testing acc: 80.66%
